,stories,topics,locations,left,center,right,story_links,majority_coverage,n_sources,title,source,sample,lean,date
1,Pence condemns attacks on FBI after Mar-a-Lago search,Mike Pence, Washington,55%,36%,9%,http://ground.news/article/pence-condemns-attacks-on-fbi-after-mar-a-lago-search,Left,11,"'Attacks on FBI must stop,' Pence tells GOP amid fallout from FBI raid",Washington Examiner,Former Vice President Mike Pence had a clear message to his fellow Republicans: Stop attacking rank-and-file FBI personnel.,right,2022-08-17
1,Pence condemns attacks on FBI after Mar-a-Lago search,Mike Pence, Washington,55%,36%,9%,http://ground.news/article/pence-condemns-attacks-on-fbi-after-mar-a-lago-search,Left,11,Pence tells GOP to stop lashing out at FBI over Trump search,WISH-TV,"MANCHESTER, N.H. (AP) — Former Vice President Mike Pence on Wednesday urged fellow Republicans to stop lashing out at the FBI over the search of former President Donald Trump’s Florida home last week.



Speaking in New Hampshire, Pence was asked what went through his mind when he heard about the FBI",left,2022-08-17
2,Kids-for-cash judges ordered to pay more than $200M to hundreds of Pennsylvania children,Politics, Pennsylvania,29%,66%,5%,http://ground.news/article/kids-for-cash-judges-ordered-to-pay-more-than-200m-to-hundreds-of-pennsylvania-children_7afc10,Center,21,Two Pennsylvania judges ordered to pay $200m to kids-for-cash scandal victims,The Guardian,Mark Ciavarella and Michael Conahan accepted $2.8m in illegal payments to send children to for-profit jails,left,2022-08-17
2,Kids-for-cash judges ordered to pay more than $200M to hundreds of Pennsylvania children,Politics, Pennsylvania,29%,66%,5%,http://ground.news/article/kids-for-cash-judges-ordered-to-pay-more-than-200m-to-hundreds-of-pennsylvania-children_7afc10,Center,21,Kids-for-cash judges ordered to pay more than $200M,Associated Press News,Two Pennsylvania judges who orchestrated a scheme to send children to for-profit jails in exchange for kickbacks were ordered to pay more than $200 million to hundreds who fell victim to their crimes. ,left,2022-08-17
2,Kids-for-cash judges ordered to pay more than $200M to hundreds of Pennsylvania children,Politics, Pennsylvania,29%,66%,5%,http://ground.news/article/kids-for-cash-judges-ordered-to-pay-more-than-200m-to-hundreds-of-pennsylvania-children_7afc10,Center,21,Kids-for-cash judges ordered to pay more than $200M,KRDO,"By MICHAEL RUBINKAM
Associated PressTwo Pennsylvania judges who orchestrated a scheme to send children to for-profit jails in exchange for kickbacks have been ordered to pay more than $200 million to hundreds of children who fell victim to their crimes. A federal judge awarded $106 million in compensatory damages and $100 million in punitive damages to plaintiffs in a long-running civil suit against the judges. In what came to be known as the ki…",center,2022-08-17
2,Kids-for-cash judges ordered to pay more than $200M to hundreds of Pennsylvania children,Politics, Pennsylvania,29%,66%,5%,http://ground.news/article/kids-for-cash-judges-ordered-to-pay-more-than-200m-to-hundreds-of-pennsylvania-children_7afc10,Center,21,Kids-for-cash judges ordered to pay more than $200M,MY Northwest,Two Pennsylvania judges who orchestrated a scheme to send children to for-profit jails in exchange for kickbacks were ordered to pay more than $200 million to hundreds who fell victim to their crimes.,right,2022-08-17
2,Kids-for-cash judges ordered to pay more than $200M to hundreds of Pennsylvania children,Politics, Pennsylvania,29%,66%,5%,http://ground.news/article/kids-for-cash-judges-ordered-to-pay-more-than-200m-to-hundreds-of-pennsylvania-children_7afc10,Center,21,Kids-for-cash judges ordered to pay more than $200M,Star Tribune,Two Pennsylvania judges who orchestrated a scheme to send children to for-profit jails in exchange for kickbacks were ordered to pay more than $200 million to hundreds who fell victim to their crimes.,left,2022-08-17
2,Kids-for-cash judges ordered to pay more than $200M to hundreds of Pennsylvania children,Politics, Pennsylvania,29%,66%,5%,http://ground.news/article/kids-for-cash-judges-ordered-to-pay-more-than-200m-to-hundreds-of-pennsylvania-children_7afc10,Center,21,Kids-for-cash judges ordered to pay more than $200M,Winnipeg Free Press,Two Pennsylvania judges who orchestrated a scheme to send children to for-profit jails in exchange for kickbacks were ordered to pay more than $200 million to hundreds of children who fell victim to their crimes. U.S. District Judge Judge Christopher Conner awarded $106 million in compensatory damages and $100 million in punitive damages to nearly […],center,2022-08-17
3,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,US & Canada, Cedar Point,27%,50%,23%,http://ground.news/article/couple-accused-of-having-sex-while-riding-ferris-wheel-at-cedar-point,Center,22,Couple accused of having sex aboard Ferris wheel in Ohio,New York Post,A daringly-frisky couple have been charged with public indecency after they were caught allegedly doing the deed aboard an Ohio Ferris wheel Sunday night.,right,2022-08-17
3,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,US & Canada, Cedar Point,27%,50%,23%,http://ground.news/article/couple-accused-of-having-sex-while-riding-ferris-wheel-at-cedar-point,Center,22,Couple arrested for 'having sex on Ferris wheel' at amusement park,Metro News,A couple allegedly had sexual intercourse while riding the Giant Wheel ride at Cedar Point amusement park in Ohio (Picture: Getty Images)A man and woman may have gotten too adventurous in where they chose to get it on.Four witnesses told police they saw a couple having sexual intercourse on the Giant Wheel at the Cedar Point amusement park in Ohio. ,left,2022-08-17
3,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,US & Canada, Cedar Point,27%,50%,23%,http://ground.news/article/couple-accused-of-having-sex-while-riding-ferris-wheel-at-cedar-point,Center,22,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,Click on Detroit,A 32-year-old couple is accused of having sex on a Cedar Point ferris wheel in front of children who told police they could feel the cart shaking and hear the couple laughing.,center,2022-08-17
3,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,US & Canada, Cedar Point,27%,50%,23%,http://ground.news/article/couple-accused-of-having-sex-while-riding-ferris-wheel-at-cedar-point,Center,22,Randy couple charged after having sex on Ferris wheel at amusement park in front of minors,MEAWW Entertainment,"Randy couple charged after having sex on Ferris wheel at amusement park in front of minorsSANDUSKY, OHIO: A couple's rather adventurous romp has landed them in trouble with the law as both face public indecency charges after being accused of having sex while on the Ferris wheel ride at Cedar Point.Witnesses told Sandusky police how they saw a man and a woman engaging in sexual intercourse on the Giant Wheel at the Cedar Point amusement park in O…",right,2022-08-17
3,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,US & Canada, Cedar Point,27%,50%,23%,http://ground.news/article/couple-accused-of-having-sex-while-riding-ferris-wheel-at-cedar-point,Center,22,Couple went for a whirl on Cedar Point ride; witnesses weren't amused,The Detroit News,"They climbed aboard the Giant Wheel and had sex Sunday, police said. Onlookers said they 'could feel the cart shaking,' and not from the ride.",center,2022-08-17
3,Couple accused of having sex in front of kids while riding ferris wheel at Cedar Point,US & Canada, Cedar Point,27%,50%,23%,http://ground.news/article/couple-accused-of-having-sex-while-riding-ferris-wheel-at-cedar-point,Center,22,"Couple arrested after they’re seen having sex on amusement park ride, police say",Tulsa World,"The couple initially denied they had sex on Cedar Point's Ferris wheel, with the woman claiming she was picking up a pack of cigarettes, police said.",center,2022-08-17
4,Planned Parenthood to spend record $50M in midterm elections,Abortion, Washington,43%,57%,0%,http://ground.news/article/planned-parenthood-to-spend-record-50m-in-midterm-elections_9223ab,Center,14,Planned Parenthood to spend record $50M in midterm elections,The Independent,"The nation's leading abortion rights advocacy organization, Planned Parenthood, plans to spend a record $50 million ahead of November’s midterm elections",left,2022-08-17
4,Planned Parenthood to spend record $50M in midterm elections,Abortion, Washington,43%,57%,0%,http://ground.news/article/planned-parenthood-to-spend-record-50m-in-midterm-elections_9223ab,Center,14,Planned Parenthood to spend record $50M in midterm elections,abc News,"The nation's leading abortion rights advocacy organization, Planned Parenthood, plans to spend a record $50 million ahead of November’s midterm elections",left,2022-08-17
4,Planned Parenthood to spend record $50M in midterm elections,Abortion, Washington,43%,57%,0%,http://ground.news/article/planned-parenthood-to-spend-record-50m-in-midterm-elections_9223ab,Center,14,Planned Parenthood to spend record $50M in midterm elections,Associated Press News,"WASHINGTON (AP) — Planned Parenthood, the nation's leading reproductive health care provider and abortion rights advocacy organization, plans to spend a record $50 million ahead of November's midterm elections , pouring money into contests where access to abortion will be on the ballot.",left,2022-08-17
4,Planned Parenthood to spend record $50M in midterm elections,Abortion, Washington,43%,57%,0%,http://ground.news/article/planned-parenthood-to-spend-record-50m-in-midterm-elections_9223ab,Center,14,Planned Parenthood to spend record $50M in midterm elections,KRDO,"By BRIAN SLODYSKO Associated Press WASHINGTON (AP) — The nation’s leading abortion rights advocacy organization, Planned Parenthood, plans to spend a record $50 million ahead of November’s midterm elections. It’s pouring money into contests where access to abortion will be on the ballot. The effort comes months after the Supreme Court overturned the landmark 1973",center,2022-08-17
4,Planned Parenthood to spend record $50M in midterm elections,Abortion, Washington,43%,57%,0%,http://ground.news/article/planned-parenthood-to-spend-record-50m-in-midterm-elections_9223ab,Center,14,Planned Parenthood To Spend Record $50 Million For Midterms,HuffPost,The nation's leading reproductive health care provider is pouring money into contests where access to abortion will be on the ballot.,left,2022-08-17
4,Planned Parenthood to spend record $50M in midterm elections,Abortion, Washington,43%,57%,0%,http://ground.news/article/planned-parenthood-to-spend-record-50m-in-midterm-elections_9223ab,Center,14,Planned Parenthood to spend record $50M in midterm elections,Star Tribune,"Planned Parenthood, the nation's leading reproductive health care provider and abortion rights advocacy organization, plans to spend a record $50 million ahead of November's midterm elections, pouring money into contests where access to abortion will be on the ballot.",left,2022-08-17
5,Retail sales little changed in July amid fall in gas prices and drop in auto sales,Business, Washington,17%,66%,17%,http://ground.news/article/retail-sales-little-changed-in-july-amid-fall-in-gas-prices-and-drop-in-auto-sales,Center,29,U.S. retail sales flat in July; core sales rise,Reuters,"U.S. retail sales were unchanged in July as declining gasoline prices weighed on receipts at service stations, but consumer spending appeared to holding up, which could further assuage fears that the economy was already in recession. The Commerce Department on Wednesday said that retail sales' flat reading last month followed a downwardly revised 0.8% increase in June.",center,2022-08-17
5,Retail sales little changed in July amid fall in gas prices and drop in auto sales,Business, Washington,17%,66%,17%,http://ground.news/article/retail-sales-little-changed-in-july-amid-fall-in-gas-prices-and-drop-in-auto-sales,Center,29,US retail sales were flat in July as inflation takes a toll,Associated Press News,"WASHINGTON (AP) — The pace of sales at U.S. retailers was unchanged last month as persistently high inflation and rising interest rates forced many households to spend more cautiously.  Retail purchases were flat after having risen 0.8% in June, the Commerce Department reported Wednesday. ",left,2022-08-17
5,Retail sales little changed in July amid fall in gas prices and drop in auto sales,Business, Washington,17%,66%,17%,http://ground.news/article/retail-sales-little-changed-in-july-amid-fall-in-gas-prices-and-drop-in-auto-sales,Center,29,Retail sales little changed in July amid fall in gas prices and drop in auto sales,CNBC,Retail activity was flat in July as falling fuel prices held back gas station sales and consumers turned more heavily to online shopping.,center,2022-08-17
5,Retail sales little changed in July amid fall in gas prices and drop in auto sales,Business, Washington,17%,66%,17%,http://ground.news/article/retail-sales-little-changed-in-july-amid-fall-in-gas-prices-and-drop-in-auto-sales,Center,29,US retail sales were flat in July as inflation takes a toll,The Washington Post,The pace of sales at U.S. retailers was unchanged last month as persistently high inflation and rising interest rates forced many households to spend more cautiously,left,2022-08-17
5,Retail sales little changed in July amid fall in gas prices and drop in auto sales,Business, Washington,17%,66%,17%,http://ground.news/article/retail-sales-little-changed-in-july-amid-fall-in-gas-prices-and-drop-in-auto-sales,Center,29,US retail sales flat in July as fuel prices fall,RTÉ,"US retail sales were unchanged in July as declining fuel prices weighed on receipts at service stations, but consumer spending appeared to holding up, which could further assuage fears that the economy was already in recession.",center,2022-08-17
5,Retail sales little changed in July amid fall in gas prices and drop in auto sales,Business, Washington,17%,66%,17%,http://ground.news/article/retail-sales-little-changed-in-july-amid-fall-in-gas-prices-and-drop-in-auto-sales,Center,29,US retail sales were flat in July as inflation takes a toll,KRDO,"By PAUL WISEMAN and ANNE D’INNOCENZIO
AP Business WritersWASHINGTON (AP) — The pace of sales at U.S. retailers was unchanged last month as persistently high inflation and rising interest rates forced many households to spend more cautiously. Retail purchases were flat after having risen 0.8% in June, the Commerce Department reported Wednesday. Economists had expected a slight increase in July retail sales.Still, Wednesday’s report included some …",center,2022-08-17
6,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Little League World Series player in critical condition after falling from a bunk bed,CTV News,"A 12-year-old player in the Little League World Series is in critical condition after falling from a bunk bed at the players' dormitory in Williamsport, Pennsylvania, his team tells CNN.",center,2022-08-17
6,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Little League World Series player placed in coma after fall from bunk bed,Washington Times,A 12-year-old baseball player from Utah was placed in a coma Monday after sustaining a skull fracture from falling off his bunk bed at the Little League World Series.,right,2022-08-17
6,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Utah boy injured in dorm fall at Little League World Series,abc News,"A 12-year-old Little League World Series player from Utah is in critical condition with what his family said was a head injury suffered when he fell off a bunk bed at the dormitory complex in Williamsport, Pennsylvania",left,2022-08-17
6,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Little League World Series player in critical condition after falling from bunk bed,CNN,"Little League baseball player Easton Oliverson is in critical condition with a fractured skull after falling from his bunk bed at the Little League World Series players' dormitory, his team tells CNN. CNN's Andy Scholes reports.",left,2022-08-17
6,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Utah boy injured in dorm fall at Little League World Series,Associated Press News,"WILLIAMSPORT, Pa. (AP) — A 12-year-old Little League World Series player from Utah was in critical condition Tuesday with what his family said was a head injury suffered when he",left,2022-08-17
6,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Player suffers head injury in fall from bunk at Little League World Series,The Washington Post,Utah's 12-year-old Easton Oliverson remains hospitalized after undergoing surgery.,left,2022-08-17
7,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,USA Today,"With a few tweaks here and there,",left,2022-08-17
7,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,'She-Hulk: Attorney at Law' Review: Marvel's Latest Is Smart but Underwhelming,c|net,Tatiana Maslany is a solid lead in a flimsy stab at comedy from Marvel.,center,2022-08-17
7,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,‘She-Hulk’ Star Tatiana Maslany Reveals How Late Musician Sophie Inspired the Superhero Role,Variety,"“She-Hulk: Attorney at Law” star Tatiana Maslany says late experimental pop musician Sophie inspired her work as the green-skinned superhero. “Musically, Sophie just lives in this…",left,2022-08-17
7,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,‘She-Hulk: Attorney At Law’: Photos From The L.A. Premiere Of Marvel’s New Series,Deadline,"There were superheroes aplenty at the Los Angeles premiere of Marvel’s latest Disney+ entry, She-Hulk: Attorney at Law. Tatiana Maslany, who plays the green-tinted title character as well as her civilian persona Jennifer Walters, was front and center alongside her onscreen cousin Mark Ruffalo — who, of course, reprises the “Professor Hulk” version of his […]",left,2022-08-17
7,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,'She-Hulk' Star Tatiana Maslany Is Married To This Netflix Actor,Bustle,"She-Hulk: Attorney At Law star Tatiana Maslany first made waves on the Canadian series Orphan Black — a lauded science-fiction thriller about human clones that required Maslany to inhabit multiple different character throughout the five-season run. The series earned Maslany an Emmy Award in 2016, and was rebooted in an audio series. Back then, Maslany was dating her longtime boyfriend Tom Cullen whom she had met on set of the TV show World Witho…",left,2022-08-17
7,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,Tatiana Maslany stars as 'She-Hulk: Attorney at Law' in new Disney+ series,abc 6 Philadelphia,"She-Hulk has been around the Marvel world for more than 40 years, first appearing in her own comic book in 1980.",left,2022-08-17
8,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Little League World Series player in critical condition after falling from a bunk bed,CTV News,"A 12-year-old player in the Little League World Series is in critical condition after falling from a bunk bed at the players' dormitory in Williamsport, Pennsylvania, his team tells CNN.",center,2022-08-17
8,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Little League World Series player placed in coma after fall from bunk bed,Washington Times,A 12-year-old baseball player from Utah was placed in a coma Monday after sustaining a skull fracture from falling off his bunk bed at the Little League World Series.,right,2022-08-17
8,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Utah boy injured in dorm fall at Little League World Series,abc News,"A 12-year-old Little League World Series player from Utah is in critical condition with what his family said was a head injury suffered when he fell off a bunk bed at the dormitory complex in Williamsport, Pennsylvania",left,2022-08-17
8,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Little League World Series player in critical condition after falling from bunk bed,CNN,"Little League baseball player Easton Oliverson is in critical condition with a fractured skull after falling from his bunk bed at the Little League World Series players' dormitory, his team tells CNN. CNN's Andy Scholes reports.",left,2022-08-17
8,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Utah boy injured in dorm fall at Little League World Series,Associated Press News,"WILLIAMSPORT, Pa. (AP) — A 12-year-old Little League World Series player from Utah was in critical condition Tuesday with what his family said was a head injury suffered when he",left,2022-08-17
8,Little League World Series player in critical condition after falling from a bunk bed,North America, Williamsport,46%,40%,14%,http://ground.news/article/little-league-world-series-player-in-critical-condition-after-falling-from-a-bunk-bed_c9ba45,Left,35,Player suffers head injury in fall from bunk at Little League World Series,The Washington Post,Utah's 12-year-old Easton Oliverson remains hospitalized after undergoing surgery.,left,2022-08-17
9,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,USA Today,"With a few tweaks here and there,",left,2022-08-17
9,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,'She-Hulk: Attorney at Law' Review: Marvel's Latest Is Smart but Underwhelming,c|net,Tatiana Maslany is a solid lead in a flimsy stab at comedy from Marvel.,center,2022-08-17
9,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,‘She-Hulk’ Star Tatiana Maslany Reveals How Late Musician Sophie Inspired the Superhero Role,Variety,"“She-Hulk: Attorney at Law” star Tatiana Maslany says late experimental pop musician Sophie inspired her work as the green-skinned superhero. “Musically, Sophie just lives in this…",left,2022-08-17
9,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,‘She-Hulk: Attorney At Law’: Photos From The L.A. Premiere Of Marvel’s New Series,Deadline,"There were superheroes aplenty at the Los Angeles premiere of Marvel’s latest Disney+ entry, She-Hulk: Attorney at Law. Tatiana Maslany, who plays the green-tinted title character as well as her civilian persona Jennifer Walters, was front and center alongside her onscreen cousin Mark Ruffalo — who, of course, reprises the “Professor Hulk” version of his […]",left,2022-08-17
9,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,'She-Hulk' Star Tatiana Maslany Is Married To This Netflix Actor,Bustle,"She-Hulk: Attorney At Law star Tatiana Maslany first made waves on the Canadian series Orphan Black — a lauded science-fiction thriller about human clones that required Maslany to inhabit multiple different character throughout the five-season run. The series earned Maslany an Emmy Award in 2016, and was rebooted in an audio series. Back then, Maslany was dating her longtime boyfriend Tom Cullen whom she had met on set of the TV show World Witho…",left,2022-08-17
9,Review: 'She-Hulk: Attorney at Law' is so close yet so far from greatness,US & Canada, Los Angeles,61%,33%,6%,http://ground.news/article/she-hulk-attorney-at-law-review-marvels-latest-is-smart-but-underwhelming_27c6dd,Left,18,Tatiana Maslany stars as 'She-Hulk: Attorney at Law' in new Disney+ series,abc 6 Philadelphia,"She-Hulk has been around the Marvel world for more than 40 years, first appearing in her own comic book in 1980.",left,2022-08-17
10,Chinese military will send troops to Russia for joint exercise,Europe, Beijing,29%,36%,35%,http://ground.news/article/chinese-military-will-send-troops-to-russia-for-joint-exercise_990754,Center,17,Chinese military to send troops to Russia for joint exercise,Times of India,"China's participation in the joint exercises is ""unrelated to the current international and regional situation,"" the ministry said in a statement. The exercises are part of an ongoing bilateral annual cooperation agreement, it said. Similar Russian-led joint exercises involving China have taken place in recent years.",right,2022-08-17
10,Chinese military will send troops to Russia for joint exercise,Europe, Beijing,29%,36%,35%,http://ground.news/article/chinese-military-will-send-troops-to-russia-for-joint-exercise_990754,Center,17,China to send troops to Russia for 'Vostok' exercise,Reuters,"Chinese troops will travel to Russia to take part in joint military exercises led by the host and including India, Belarus, Mongolia, Tajikistan and other countries, China's defence ministry said on Wednesday.",center,2022-08-17
10,Chinese military will send troops to Russia for joint exercise,Europe, Beijing,29%,36%,35%,http://ground.news/article/chinese-military-will-send-troops-to-russia-for-joint-exercise_990754,Center,17,China to send troops to Russia for joint military exercise - National,Global News,"China's participation in the joint exercises is ""unrelated to the current international and regional situation,"" the defence ministry said in a statement.",left,2022-08-17
10,Chinese military will send troops to Russia for joint exercise,Europe, Beijing,29%,36%,35%,http://ground.news/article/chinese-military-will-send-troops-to-russia-for-joint-exercise_990754,Center,17,Chinese military will send troops to Russia for joint exercise,The Star Kuala Lumpur,"BEIJING (Reuters): Chinese troops will travel to Russia to take part in a joint exercise with Russia and other countries including India, Belarus and Tajikistan, the Chinese defence ministry said on Wednesday (Aug 17).",right,2022-08-17
